,Total,Under 16,16-24,25-34,35-44,45-54,55-64,65-74,75 and over
,,,,,,,,,
2002/03,"1,275",400,65,136,289,216,94,52,23
2003/04,"1,711",579,67,174,391,273,151,52,24
2004/05,"2,035",547,107,287,487,364,174,36,32
2005/06,"2,564",583,96,341,637,554,258,72,20
2006/07,"3,862",656,184,461,"1,069",872,459,118,43
2007/08,"5,018",747,228,564,"1,469","1,198",598,157,53
2008/09,"7,988",775,322,"1,013","2,359","2,133","1,099",221,63
2009/10,"10,571",632,361,"1,348","3,132","3,076","1,555",378,87
2010/11,"11,574",525,375,"1,425","3,277","3,573","1,820",456,115
2011/12,"11,736",495,391,"1,484","3,104","3,581","2,119",468,94
2012/13,"10,957",556,356,"1,437","2,744","3,305","1,965",495,99
